Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-07-30,17:00 (19:00),Community Shield,FA Community Shield,Sat,Neutral,L,1,3,Liverpool,,,57,,Rúben Dias,4-3-3,Craig Pawson,Match Report,
2022-08-07,16:30 (18:30),Premier League,Matchweek 1,Sun,Away,W,2,0,West Ham,2.2,0.5,75,62443,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2022-08-13,15:00 (17:00),Premier League,Matchweek 2,Sat,Home,W,4,0,Bournemouth,1.7,0.1,67,53453,İlkay Gündoğan,4-2-3-1,David Coote,Match Report,
2022-08-21,16:30 (18:30),Premier League,Matchweek 3,Sun,Away,D,3,3,Newcastle Utd,2.1,1.8,69,52258,İlkay Gündoğan,4-3-3,Jarred Gillett,Match Report,
2022-08-27,15:00 (17:00),Premier League,Matchweek 4,Sat,Home,W,4,2,Crystal Palace,2.2,0.1,74,53112,Kevin De Bruyne,4-2-3-1,Darren England,Match Report,
2022-08-31,19:30 (21:30),Premier League,Matchweek 5,Wed,Home,W,6,0,Nott'ham Forest,3.3,0.7,74,53409,İlkay Gündoğan,4-2-3-1,Paul Tierney,Match Report,
2022-09-03,17:30 (19:30),Premier League,Matchweek 6,Sat,Away,D,1,1,Aston Villa,2.1,0.3,71,41830,İlkay Gündoğan,4-3-3,Simon Hooper,Match Report,
2022-09-06,21:00 (22:00),Champions Lg,Group stage,Tue,Away,W,4,0,es Sevilla,3.6,0.3,61,38764,Kevin De Bruyne,4-3-3,Davide Massa,Match Report,
2022-09-14,20:00 (22:00),Champions Lg,Group stage,Wed,Home,W,2,1,de Dortmund,1.0,0.7,66,50441,İlkay Gündoğan,4-3-3,Daniele Orsato,Match Report,
2022-09-17,12:30 (14:30),Premier League,Matchweek 8,Sat,Away,W,3,0,Wolves,1.1,0.4,59,31578,Kevin De Bruyne,4-3-3,Anthony Taylor,Match Report,
2022-10-02,14:00 (16:00),Premier League,Matchweek 9,Sun,Home,W,6,3,Manchester Utd,3.2,1.7,53,53475,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2022-10-05,20:00 (22:00),Champions Lg,Group stage,Wed,Home,W,5,0,dk FC Copenhagen,4.3,0.4,75,51765,İlkay Gündoğan,4-4-2,Donatas Rumšas,Match Report,
2022-10-08,15:00 (17:00),Premier League,Matchweek 10,Sat,Home,W,4,0,Southampton,2.4,0.2,65,53365,Kevin De Bruyne,4-2-3-1,Andy Madley,Match Report,
2022-10-11,18:45 (19:45),Champions Lg,Group stage,Tue,Away,D,0,0,dk FC Copenhagen,1.6,0.3,59,35447,İlkay Gündoğan,4-2-3-1,Artur Dias,Match Report,
2022-10-16,16:30 (18:30),Premier League,Matchweek 11,Sun,Away,L,0,1,Liverpool,1.0,2.1,63,53286,İlkay Gündoğan,3-4-3,Anthony Taylor,Match Report,
2022-10-22,15:00 (17:00),Premier League,Matchweek 13,Sat,Home,W,3,1,Brighton,1.6,0.5,48,53223,Kevin De Bruyne,4-3-3,Craig Pawson,Match Report,
2022-10-25,21:00 (22:00),Champions Lg,Group stage,Tue,Away,D,0,0,de Dortmund,1.2,1.2,73,81000,İlkay Gündoğan,4-4-2,Davide Massa,Match Report,
2022-10-29,12:30 (14:30),Premier League,Matchweek 14,Sat,Away,W,1,0,Leicester City,1.0,0.7,64,32223,İlkay Gündoğan,4-3-3,Robert Jones,Match Report,
2022-11-02,20:00 (23:00),Champions Lg,Group stage,Wed,Home,W,3,1,es Sevilla,2.0,0.4,61,51610,İlkay Gündoğan,4-3-3,Orel Grinfeeld,Match Report,
2022-11-05,15:00 (18:00),Premier League,Matchweek 15,Sat,Home,W,2,1,Fulham,2.1,1.0,70,52395,İlkay Gündoğan,4-3-3,Darren England,Match Report,
2022-11-09,20:00 (23:00),EFL Cup,Third round,Wed,Home,W,2,0,Chelsea,,,55,35674,İlkay Gündoğan,4-2-3-1,Simon Hooper,Match Report,
2022-11-12,12:30 (15:30),Premier League,Matchweek 16,Sat,Home,L,1,2,Brentford,1.6,1.3,74,52786,İlkay Gündoğan,4-3-3,Peter Bankes,Match Report,
2022-12-22,20:00 (23:00),EFL Cup,Fourth round,Thu,Home,W,3,2,Liverpool,,,57,47149,İlkay Gündoğan,4-3-3,David Coote,Match Report,
2022-12-28,20:00 (23:00),Premier League,Matchweek 17,Wed,Away,W,3,1,Leeds United,4.3,0.6,69,36889,İlkay Gündoğan,4-3-3,Stuart Attwell,Match Report,
2022-12-31,15:00 (18:00),Premier League,Matchweek 18,Sat,Home,D,1,1,Everton,1.7,0.1,74,53444,Kevin De Bruyne,4-3-3,Andy Madley,Match Report,
2023-01-05,20:00 (23:00),Premier League,Matchweek 19,Thu,Away,W,1,0,Chelsea,2.1,0.4,52,39998,İlkay Gündoğan,3-2-4-1,Paul Tierney,Match Report,
2023-01-08,16:30 (19:30),FA Cup,Third round proper,Sun,Home,W,4,0,Chelsea,,,58,51505,Kyle Walker,4-3-3,Robert Jones,Match Report,
2023-01-11,20:00 (23:00),EFL Cup,Quarter-finals,Wed,Away,L,0,2,Southampton,,,72,22996,İlkay Gündoğan,4-3-3,Peter Bankes,Match Report,
